P',P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CP_R
,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,
,,,,,,,5,6,,7,,,8,14,,,9,
,,,17,18,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,22,6,,7,,,8,14,,,9,
,,,,,,,23,6,,7,,,8,14,,,9,
,,,,,,,24,6,,7,,,8,14,,,9,
,,,,,,,25,6,,7,,,8,14,,,9,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,27,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,33,,34,,,35,14,,32,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,39,18,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,41,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,48,49,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,33,,34,,,35,14,,52,,
,,,,,,,,33,,34,,,35,14,,53,,
,,,,,,,,33,,34,,,35,14,,54,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,56,,,55,,,
,,,,,,,,,,,,56,,,57,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,59,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,65,,,,,,
,,,,,,,,67,,68,,,69,14,,,,66
,,,,,,,,,,,,71,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,67,,68,,,69,14,,,,73
,,,,,,,,67,,68,,,69,14,,,,74
,,,,,,,,67,,68,,,69,14,,,,75